,full_name,age,religion,workclass,demographic_characteristic,relationship,race,workclass,town,Cluster Id - KMeans
0,Mr. Dale Coles,39.0,Christianity,State-gov,77516.0,Not-in-family,White,State-gov,Edinburgh,2
1,Joel Allen,50.0,Christianity,Self-emp-not-inc,83311.0,Husband,White,Self-emp-not-inc,Leeds,2
2,Mr. Craig Marc Davis,39.0,Christianity,Private,215646.0,Not-in-family,White,Private,Edinburgh,2
3,Mr. Brandon Thornton,53.0,Christianity,Private,234721.0,Husband,Black,Private,Edinburgh,2
6,Ms. Jeremy Ward,50.0,Christianity,Private,160187.0,Not-in-family,Black,Private,Edinburgh,2
7,Mr. Karl Gavin Cox,53.0,Christianity,Self-emp-not-inc,209642.0,Husband,White,Self-emp-not-inc,Sunderland,2
14,Barry Brown,41.0,Christianity,Private,121772.0,Husband,Asian-Pac-Islander,Private,Swindon,2
18,Ross Carr,44.0,Christianity,Self-emp-not-inc,292175.0,Unmarried,White,Self-emp-not-inc,North Sean,2
20,Bryan Shaun Barry,36.0,Christianity,Federal-gov,76845.0,Husband,Black,Federal-gov,Edinburgh,2
21,Christian Smith,43.0,Christianity,Private,117037.0,Husband,White,Private,Edinburgh,2
22,Mrs. James Kirsty Hill,60.0,Not Stated,Private,109015.0,Unmarried,White,Private,Bristol,2
25,Mr. Norman Wells,54.0,Christianity,?,180211.0,Husband,Asian-Pac-Islander,?,Swindon,2
26,Lewis Watson,39.0,Christianity,Private,367260.0,Not-in-family,White,Private,Lake Oliver,2
27,Jeffrey Ryan Pearce,49.0,Not Stated,Private,193366.0,Husband,White,Private,Swindon,2
30,Mr. Joseph May,45.0,Christianity,Private,386940.0,Own-child,White,Private,Edinburgh,2
33,Glen Bennett,48.0,Christianity,Private,242406.0,Unmarried,White,Private,Edinburgh,2
37,Leon Stuart Stephens,48.0,Islam,Self-emp-not-inc,265477.0,Husband,White,Self-emp-not-inc,Lake Edward,2
39,Kevin Gray,54.0,Christianity,Self-emp-not-inc,88506.0,Husband,White,Self-emp-not-inc,Swindon,2
41,Mrs. Louis Linda Robertson,50.0,Christianity,Private,94638.0,Unmarried,White,Private,Edinburgh,2
44,Andrew Barker,54.0,Islam,Private,144361.0,Husband,White,Private,Swindon,2
45,Miss Ricky Kathryn Collier,44.0,Christianity,Private,128354.0,Unmarried,White,Private,Jordanborough,2
46,Mr. Maurice Whitehead,42.0,Christianity,State-gov,101603.0,Husband,White,State-gov,Edinburgh,2
50,Martin Bryant,51.0,Christianity,Federal-gov,251585.0,Not-in-family,White,Federal-gov,Swindon,2
51,Mr. Timothy Parkes,47.0,Christianity,Self-emp-inc,109832.0,Not-in-family,White,Self-emp-inc,Declanborough,2
52,Mr. Reece Daniel Hunt,44.0,Christianity,Private,237993.0,Husband,White,Private,Port Jeffreyview,2
57,Bryan Oliver Jones,33.0,Christianity,?,293936.0,Not-in-family,White,?,Edinburgh,2
60,Mr. Malcolm Hugh Nixon,36.0,Christianity,Private,155537.0,Husband,White,Private,Leeds,2
61,Ben Georgina Begum,54.0,Christianity,Private,169846.0,Wife,White,Private,Oxford,2
62,Damien White,49.0,Not Stated,Self-emp-inc,191681.0,Husband,White,Self-emp-inc,Smithport,2
68,Sam Collins,74.0,Christianity,Private,124744.0,Other-relative,White,Private,Leeds,2
71,Elliott Wright,68.0,Christianity,?,212759.0,Husband,White,?,Edinburgh,2
75,Mr. Colin Warren,53.0,Islam,Private,276515.0,Husband,White,Private,Morganbury,2
76,Miss Oliver Hall,46.0,Christianity,Private,51618.0,Wife,White,Private,Oxford,2
77,Mr. Phillip James,60.0,Christianity,Private,159937.0,Husband,White,Private,Swindon,2
82,Mathew Ingram,43.0,Christianity,Federal-gov,410867.0,Not-in-family,White,Federal-gov,Turnerstad,2
83,Leonard Clarke,56.0,Christianity,Private,249977.0,Husband,White,Private,Edinburgh,2
84,Daniel Francesca Burton,38.0,Christianity,Private,286730.0,Unmarried,White,Private,Edinburgh,2
89,Dr. Ian James Smith,49.0,Christianity,Self-emp-not-inc,191277.0,Husband,White,Self-emp-not-inc,Swindon,2
90,Mr. Brandon Farrell,38.0,Christianity,Private,202683.0,Husband,White,Private,New Alicehaven,2
91,Timothy Jane Saunders,48.0,Christianity,Private,171095.0,Unmarried,White,Private,Edinburgh,2
92,Mr. Brandon Patrick Carter,33.0,Christianity,Federal-gov,249409.0,Own-child,Black,Federal-gov,Edinburgh,2
93,Mr. Leon Campbell,74.0,Christianity,Private,124191.0,Husband,White,Private,North Jemma,2
95,Mrs. Stuart June Shah,47.0,Christianity,Self-emp-not-inc,149116.0,Not-in-family,White,Self-emp-not-inc,Oxford,2
102,Jonathan Lloyd,42.0,Christianity,Private,124692.0,Husband,White,Private,Leeds,2
104,James Foster,57.0,Christianity,Self-emp-not-inc,335605.0,Husband,White,Self-emp-not-inc,Swindon,2
107,Mr. Graeme Myers,54.0,Christianity,Private,95647.0,Husband,White,Private,Leeds,2
108,Mr. Raymond Dickinson,57.0,Christianity,Self-emp-inc,303090.0,Husband,White,Self-emp-inc,Swindon,2
109,Nathan Pearson,50.0,Christianity,Local-gov,197371.0,Husband,Black,Local-gov,Swindon,2
110,Malcolm Rees,55.0,Christianity,Private,247552.0,Husband,White,Private,Swindon,2
124,Mrs. Wayne Jackson,46.0,Christianity,Private,146195.0,Not-in-family,Black,Private,Edinburgh,2
125,Mr. Stewart Kent,38.0,Christianity,Federal-gov,125933.0,Husband,White,Federal-gov,Swindon,2
128,Cameron Kaur,49.0,Christianity,Private,81973.0,Husband,Asian-Pac-Islander,Private,West Kerrystad,2
129,Bruce Sean Payne,61.0,Christianity,Self-emp-inc,66614.0,Husband,White,Self-emp-inc,Swindon,2
133,Mr. Billy Marsden,71.0,Christianity,Private,105376.0,Other-relative,White,Private,Edinburgh,2
136,Miss Ross Bentley,37.0,Christianity,Private,108293.0,Unmarried,White,Private,Edinburgh,2
137,Mr. Howard Frost,64.0,Not Stated,Private,181232.0,Husband,White,Private,Edinburgh,2
138,Ms. Jonathan Vanessa Berry,43.0,Christianity,?,174662.0,Not-in-family,White,?,Edinburgh,2
139,Ms. Gavin Maureen Wood,48.0,Christianity,Local-gov,186009.0,Unmarried,White,Local-gov,Edinburgh,2
142,Mr. Ashley Ahmed,52.0,Christianity,?,252903.0,Not-in-family,White,?,Edinburgh,2
145,Brandon Evans,71.0,Christianity,Self-emp-not-inc,494223.0,Unmarried,Black,Self-emp-not-inc,Edinburgh,2
148,Ms. George Nicholson,69.0,Islam,?,38317.0,Not-in-family,White,?,Edinburgh,2
150,Henry Wright,44.0,Christianity,Self-emp-inc,78374.0,Unmarried,Asian-Pac-Islander,Self-emp-inc,Edinburgh,2
153,Ms. Brian Eileen Browne,37.0,Not Stated,Private,207157.0,Unmarried,White,Private,Edinburgh,2
154,Jonathan Julian Armstrong,40.0,Christianity,Federal-gov,235485.0,Not-in-family,White,Federal-gov,Edinburgh,2
157,Miss Charles Georgia Hughes,67.0,Christianity,Local-gov,54826.0,Not-in-family,White,Local-gov,Edinburgh,2
160,Mr. Gary Gerald Smith,52.0,Christianity,Private,96062.0,Husband,White,Private,Swindon,2
169,Miss Tony Aimee Knight,44.0,Not Stated,Private,114580.0,Not-in-family,White,Private,Edinburgh,2
171,Mr. Sean Brennan,40.0,Christianity,Private,286370.0,Husband,White,Private,Edinburgh,2
172,Daniel Dawson,37.0,Christianity,Federal-gov,29054.0,Husband,White,Federal-gov,Edinburgh,2
174,Alan Porter,53.0,Christianity,?,135105.0,Not-in-family,White,?,Oxford,2
179,Toby Colin Bull,47.0,Islam,Private,120939.0,Husband,White,Private,Swindon,2
180,Neil Smith,42.0,Christianity,Federal-gov,130760.0,Husband,White,Federal-gov,Swindon,2
182,Mr. Steven Cooper,37.0,Islam,Private,99374.0,Not-in-family,White,Private,Edinburgh,2
183,Dr. Kieran White,41.0,Islam,Federal-gov,56795.0,Not-in-family,White,Federal-gov,Swindon,2
184,Dr. Shaun Jeffrey Barker,35.0,Not Stated,Private,138992.0,Other-relative,White,Private,Swindon,2
188,Mr. Mathew Garry Patterson,52.0,Christianity,Private,259323.0,Husband,White,Private,Swindon,2
189,Mrs. Leon Parry,43.0,Christianity,Local-gov,254817.0,Not-in-family,White,Local-gov,Edinburgh,2
191,Kenneth Mills,35.0,Christianity,Private,36270.0,Not-in-family,White,Private,Oxford,2
197,Harry Terry Lawrence,60.0,Judaism,Private,85815.0,Husband,Asian-Pac-Islander,Private,Swindon,2
198,Mr. Lawrence Bruce Robson,54.0,Not Stated,Self-emp-inc,125417.0,Husband,White,Self-emp-inc,Leeds,2
200,Miss Gary Heather Barrett,50.0,Christianity,Private,313321.0,Not-in-family,White,Private,Edinburgh,2
202,Christian Wilson,45.0,Christianity,Private,109434.0,Husband,White,Private,Swindon,2
205,Mr. Nathan Greenwood,64.0,Christianity,?,187656.0,Not-in-family,White,?,Edinburgh,2
206,Wayne Bradshaw,74.0,Christianity,Private,51744.0,Not-in-family,Black,Private,Leeds,2
207,Thomas Manning,55.0,Christianity,Private,176681.0,Husband,Black,Private,Edinburgh,2
208,Mrs. Antony Carolyn Murray,54.0,Christianity,Local-gov,140359.0,Not-in-family,White,Local-gov,Edinburgh,2
210,Mrs. Aaron Charlotte Davies,60.0,Christianity,?,24215.0,Not-in-family,Amer-Indian-Eskimo,?,Edinburgh,2
211,Christopher Ward,67.0,Christianity,Self-emp-not-inc,167687.0,Husband,White,Self-emp-not-inc,Edinburgh,2
212,Mrs. Max Fiona Campbell,74.0,Christianity,Private,314209.0,Not-in-family,White,Private,Edinburgh,2
